index,conf_id,smiles,area,volume,S_bv,S_darea,S_pint,S_P,S_Pangle,S_sarea,S_svol,S_toC1_Lvalue,S_toC1_B1value,S_toC1_B5value,S_toC2_Lvalue,S_toC2_B1value,S_toC2_B5value,S_charge
5172,3,COc1cc(C)c(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c(C)c1,552.7690339,582.3023443,0.750803671,2.797816612,38.18443724,0.07131068,0.484730355,0.22000514,0.246076541,9.133955951,3.244441186,10.84249708,8.915666568,3.387696838,6.53469256,0.07141282
5172,4,COc1cc(C)c(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)c(C)c1,550.9722221,581.5297818,0.751112328,2.69789459,38.73468159,0.066414138,0.451405527,0.170003972,0.18867096,9.132638459,3.246883365,11.22183845,8.877272032,3.376565058,6.404537523,0.07178049
5185,0,Cc1cccc(C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,511.7516679,547.025296,0.7417944,4.096802896,36.70115642,0.071801615,0.484063133,0.730017057,0.842691784,9.133683734,3.263173349,8.893228674,6.789885492,3.311244317,6.582502438,0.07504563
5185,1,Cc1cccc(C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,513.6531911,547.7980032,0.741852637,3.896958852,36.60977477,0.071555859,0.482391794,0.690016122,0.810530936,9.134315012,3.262760668,8.897361831,6.789982743,3.307839865,6.571681776,0.07510773
5185,2,Cc1cccc(C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,520.361672,549.9968192,0.766067602,1.09914224,42.393341,0.020001007,0.136325767,0,0,9.125759618,3.252487423,8.98944558,6.79302945,3.386079996,6.340867439,0.07824434
5185,3,Cc1cccc(C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,516.5614544,551.356752,0.759044214,1.798596393,40.27799174,0.048223364,0.327995008,0.010000234,0.012120662,9.128319539,3.255812109,9.050814146,6.795754694,3.395407813,6.595295485,0.0785076
5185,4,Cc1cccc(C)c1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,525.4600485,552.9460198,0.72356038,1.698674371,39.3856593,0.011716462,0.080035122,0,0,9.091246593,3.279044604,8.864132882,6.796483252,3.1660685,8.584715611,0.09664617
5184,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cc(F)cc(F)c1,482.5399932,506.5991209,0.675596347,6.195165354,32.82831243,0.017016673,0.11401664,3.310077339,3.924872074,9.127711789,3.233873661,9.203678731,6.823922575,3.003908741,7.161544573,0.08427561
5184,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cc(F)cc(F)c1,484.1406884,507.4034161,0.675276044,5.695555245,32.91421533,0.01698969,0.113837302,3.360078508,3.945856709,9.126442797,3.233468242,9.202121569,6.823927319,3.006574965,7.149836042,0.08428618
5184,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cc(F)cc(F)c1,485.4408456,509.2846028,0.675334281,5.595633223,32.73681303,0.014814331,0.099265434,3.400079442,3.983223186,9.123172827,3.234378807,9.192035274,6.823792153,3.031805427,7.091088922,0.08416187
5184,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cc(F)cc(F)c1,485.0401518,511.281731,0.675072214,5.695555245,33.03441254,0.017024847,0.114071922,3.34007804,3.962350253,9.127562473,3.233746219,9.203804801,6.82393373,3.002539175,7.163022517,0.08429099
5184,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cc(F)cc(F)c1,488.6380922,512.0943256,0.675439107,5.895399289,33.05174666,0.016000608,0.10721217,3.390079209,4.005112257,9.124559463,3.233880275,9.197072187,6.823870083,3.018563652,7.118784368,0.08422073
5183,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1C(F)(F)F,511.03688,536.3617016,0.674332603,5.595633223,32.87436226,0.012831519,0.085992225,3.42007991,3.979678571,9.120786816,3.334198895,9.556709227,7.542144463,3.903416703,7.06474481,0.08556538
5183,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1C(F)(F)F,513.2346293,537.5161236,0.67439084,5.695555245,33.07083849,0.012814194,0.085877702,3.370078741,3.952086175,9.123209393,3.338455158,9.596441435,7.544048428,3.855052498,7.111370339,0.08576012
5183,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1C(F)(F)F,513.2349126,534.8307292,0.674513138,5.795477267,33.24182389,0.011768546,0.078870339,3.440080377,4.001634725,9.120140228,3.33302157,9.543196945,7.539288178,3.888829841,7.046882698,0.08552395
