index,smiles
147,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C1CCCCC1)[C@H]1CCCc2ccccc21
148,CC(C)N(C1CCCCC1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
149,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
150,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2)Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1
151,COc1cc2ccccc2c2c1OP(=[Se+]Sc1ccccc1)(N(C(C)C)C(C)C)Oc1c(OC)cc3ccccc3c1-2
152,COc1ccc2c3c1OP(=[Se+]Sc1ccccc1)(N(C(C)C)C(C)C)Oc1c(OC)ccc4c1C3(CC2)CC4
153,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2)Oc2c(-c3ccccc3)cc3ccccc3c2-c2c(c(-c3ccccc3)cc3ccccc23)O1
154,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2)Oc2c(-c3ccccc3)ccc3c2C2(CC3)CCc3ccc(-c4ccccc4)c(c32)O1
155,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2)Oc2c(-c3ccc(C(F)(F)F)cc3)ccc3c2C2(CC3)CCc3ccc(-c4ccc(C(F)(F)F)cc4)c(c32)O1
156,COc1ccc(-c2ccc3c4c2OP(=[Se+]Sc2ccccc2)(N(C(C)C)C(C)C)Oc2c(-c5ccc(OC)cc5)ccc5c2C4(CC3)CC5)cc1
157,Cc1ccccc1S[S+]=P1(N(C(C)C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
158,Cc1cccc(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1
159,Cc1ccc(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
160,Cc1cccc(C)c1S[S+]=P1(N(C(C)C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
161,Cc1cc(C)cc(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1
162,COc1cccc(C)c1S[S+]=P1(N(C(C)C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
163,Cc1cc(C)c(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C)c1
164,COc1cc(C)c(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C)c1
165,CC(C)c1ccccc1S[S+]=P1(N(C(C)C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
166,COc1cc(C(C)C)c(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1
167,CC(C)N(C(C)(C)C)P1(=[S+]Sc2cccc(F)c2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
168,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccc(F)cc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
169,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccc(C(F)(F)F)cc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
170,CC(C)N(C(C)(C)C)P1(=[S+]Sc2cc(Cl)cc(Cl)c2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
171,COc1ccccc1S[S+]=P1(N(C(C)C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
172,COc1cccc(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1
173,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccc3ccccc3c2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
174,COc1ccc(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)cc1
175,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccccc2F)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
176,CC(C)N(C(C)(C)C)P1(=[S+]Sc2cccc([N+](=O)[O-])c2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
177,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccc([N+](=O)[O-])cc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
178,CC(C)c1ccccc1S[S+]=P1(N(C(C)C)C(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
179,CC(C)N(C(C)(C)C)P1(=[S+]Sc2cccc(C(F)(F)F)c2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
180,CC(C)N(C(C)(C)C)P1(=[S+]Sc2cc(F)cc(F)c2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
181,CC(C)N(C(C)(C)C)P1(=[S+]Sc2ccccc2-c2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
182,CC(C)c1cccc(C(C)C)c1S[S+]=P1(N(C(C)C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
183,CC(C)c1cc(C(C)C)c(S[S+]=P2(N(C(C)C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1
184,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2)Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1
185,Cc1ccccc1S[S+]=P1(N(C(C)C)C(C)C)Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1
186,Cc1cccc(S[S+]=P2(N(C(C)C)C(C)C)Oc3cccc4c3C3(CC4)CCc4cccc(c43)O2)c1
